,title,company,salary,summary
0,Junior Data Scientist (Training included - No prior experien...,The Center of Applied Data Science,"RM 2,500 - RM 4,000 a month","Step 2: Learn new data literacy skills to become either a junior data scientist, data analyst or data engineer.List the data analytics skills you know."
1,Data Scientist - Analytics and Algorithms,Schlumberger,,"0 - 3 years' of experience in quantitative analytics or data modeling.Analyze raw data: assessing quality, cleansing, structuring for downstream processing."
2,Data Scientist,RHB Banking Group,,"Basic expertise in data mining, analytical techniques & solutions.Basic experience in handling & managing large quantum of data via appropriate tools &…"
3,DATA SCIENTIST,OrangeFIN Asia Sdn Bhd,"RM 3,000 - RM 4,500 a month","To work independently or in team collaboration in sharing and generating insights based on data mining, visual/descriptive analytics, machine learning, using…"
4,SEA Data Scientist (Associate/Analyst/Consultant),Deloitte,,"Prior exposure to the field of data science working with structured data is preferred, in particular, applying supervised and unsupervised machine learning…"
5,Data Star Graduate Program - Job Placement with Scholarship,The Center of Applied Data Science,"RM 2,000 - RM 4,000 a month","Qualified candidates will receive a fully sponsored scholarship to learn data science, analytics, and AI skills from CADS before embarking on a new career in…"
6,Data Scientist,Involve Asia,,"Experience using statistical computer languages (R, Python.) to manipulate data and draw insights from large data sets."
7,FORENSIC SCIENCE TECHNICIAN,FORENSIC SERVICES (M) SDN BHD,,"Â€¢ Routine data processing, evidence recording, photography including preparation of site plans and drawings."
8,Data Analyst,Maxis,,Support Insights demand delivery and collaborate with stakeholders on the increased use of data effectively to improve business and operation efficiency.
9,Junior Data Scientist,The Center of Applied Data Science,"RM 2,500 - RM 4,000 a month",The job placement includes a data science skills development program where candidates get 1 to 2 months of in-class intensive data science enablement training…
10,DATA SCIENTIST ( WORK FROM HOME),Vivcal Technologies Sdn Bhd,"RM 11,000 a month",He/She will use data mining techniques to deep dive into the data to identify trends and patterns to unlock insights.Expert in Microsoft Excel and PowerPoint.
11,Insurance Data Scientist,RHB Banking Group,,Statistical methods to address and then solve business problems through data solutions.Basic experience in handling & managing large quantum of data via…
12,Data Scientist,SKILL QUOTIENT RESOURCES SDN BHD,"RM 3,000 - RM 6,000 a month","Deep expertise in data mining, analytical techniques and solutions.Demonstrate efficiency through contributing to and applying bank-wide best practices in…"
13,Data Scientist,SilverSky,,"Investigates corporate data requirements and applies data analysis, data modelling and quality assurance techniques, to establish, modify or maintain data…"
14,Associate Enterprise Data Analyst,The Center of Applied Data Science,"RM 2,500 - RM 4,000 a month",The job placement includes a data science skills development program where candidates get 1 to 2 months of in-class intensive data science enablement training…
15,Junior Data Scientist (Training included - No prior experien...,The Center of Applied Data Science,"RM 2,500 - RM 4,000 a month","Step 2: Learn new data literacy skills to become either a junior data scientist, data analyst or data engineer.List the data analytics skills you know."
16,Data Scientist - Analytics and Algorithms,Schlumberger,,"0 - 3 years' of experience in quantitative analytics or data modeling.Analyze raw data: assessing quality, cleansing, structuring for downstream processing."
17,Data Scientist,RHB Banking Group,,"Basic expertise in data mining, analytical techniques & solutions.Basic experience in handling & managing large quantum of data via appropriate tools &…"
18,DATA SCIENTIST,OrangeFIN Asia Sdn Bhd,"RM 3,000 - RM 4,500 a month","To work independently or in team collaboration in sharing and generating insights based on data mining, visual/descriptive analytics, machine learning, using…"
19,SEA Data Scientist (Associate/Analyst/Consultant),Deloitte,,"Prior exposure to the field of data science working with structured data is preferred, in particular, applying supervised and unsupervised machine learning…"
20,Data Star Graduate Program - Job Placement with Scholarship,The Center of Applied Data Science,"RM 2,000 - RM 4,000 a month","Qualified candidates will receive a fully sponsored scholarship to learn data science, analytics, and AI skills from CADS before embarking on a new career in…"
21,Data Scientist,Involve Asia,,"Experience using statistical computer languages (R, Python.) to manipulate data and draw insights from large data sets."
22,FORENSIC SCIENCE TECHNICIAN,FORENSIC SERVICES (M) SDN BHD,,"Â€¢ Routine data processing, evidence recording, photography including preparation of site plans and drawings."
23,Data Analyst,Maxis,,Support Insights demand delivery and collaborate with stakeholders on the increased use of data effectively to improve business and operation efficiency.
24,Junior Data Scientist,The Center of Applied Data Science,"RM 2,500 - RM 4,000 a month",The job placement includes a data science skills development program where candidates get 1 to 2 months of in-class intensive data science enablement training…
25,DATA SCIENTIST ( WORK FROM HOME),Vivcal Technologies Sdn Bhd,"RM 11,000 a month",He/She will use data mining techniques to deep dive into the data to identify trends and patterns to unlock insights.Expert in Microsoft Excel and PowerPoint.
26,Insurance Data Scientist,RHB Banking Group,,Statistical methods to address and then solve business problems through data solutions.Basic experience in handling & managing large quantum of data via…
27,Data Scientist,SKILL QUOTIENT RESOURCES SDN BHD,"RM 3,000 - RM 6,000 a month","Deep expertise in data mining, analytical techniques and solutions.Demonstrate efficiency through contributing to and applying bank-wide best practices in…"
28,Data Scientist,SilverSky,,"Investigates corporate data requirements and applies data analysis, data modelling and quality assurance techniques, to establish, modify or maintain data…"
29,Associate Enterprise Data Analyst,The Center of Applied Data Science,"RM 2,500 - RM 4,000 a month",The job placement includes a data science skills development program where candidates get 1 to 2 months of in-class intensive data science enablement training…
30,Junior Data Scientist (Training included - No prior experien...,The Center of Applied Data Science,,"Step 2: Learn new data literacy skills to become either a junior data scientist, data analyst or data engineer.List the data analytics skills you know."
31,Data Scientist - Analytics and Algorithms,Schlumberger,,"0 - 3 years' of experience in quantitative analytics or data modeling.Analyze raw data: assessing quality, cleansing, structuring for downstream processing."
32,Data Scientist,RHB Banking Group,,"Basic expertise in data mining, analytical techniques & solutions.Basic experience in handling & managing large quantum of data via appropriate tools &…"
33,DATA SCIENTIST,OrangeFIN Asia Sdn Bhd,,"To work independently or in team collaboration in sharing and generating insights based on data mining, visual/descriptive analytics, machine learning, using…"
34,SEA Data Scientist (Associate/Analyst/Consultant),Deloitte,,"Prior exposure to the field of data science working with structured data is preferred, in particular, applying supervised and unsupervised machine learning…"
35,Data Star Graduate Program - Job Placement with Scholarship,The Center of Applied Data Science,,"Qualified candidates will receive a fully sponsored scholarship to learn data science, analytics, and AI skills from CADS before embarking on a new career in…"
36,Data Scientist,Involve Asia,,"Experience using statistical computer languages (R, Python.) to manipulate data and draw insights from large data sets."
37,FORENSIC SCIENCE TECHNICIAN,FORENSIC SERVICES (M) SDN BHD,,"Â€¢ Routine data processing, evidence recording, photography including preparation of site plans and drawings."
38,Data Analyst,Maxis,,Support Insights demand delivery and collaborate with stakeholders on the increased use of data effectively to improve business and operation efficiency.
39,Junior Data Scientist,The Center of Applied Data Science,,The job placement includes a data science skills development program where candidates get 1 to 2 months of in-class intensive data science enablement training…
40,DATA SCIENTIST ( WORK FROM HOME),Vivcal Technologies Sdn Bhd,,He/She will use data mining techniques to deep dive into the data to identify trends and patterns to unlock insights.Expert in Microsoft Excel and PowerPoint.
41,Insurance Data Scientist,RHB Banking Group,,Statistical methods to address and then solve business problems through data solutions.Basic experience in handling & managing large quantum of data via…
42,Data Scientist,SKILL QUOTIENT RESOURCES SDN BHD,,"Deep expertise in data mining, analytical techniques and solutions.Demonstrate efficiency through contributing to and applying bank-wide best practices in…"
43,Data Scientist,SilverSky,,"Investigates corporate data requirements and applies data analysis, data modelling and quality assurance techniques, to establish, modify or maintain data…"
44,Associate Enterprise Data Analyst,The Center of Applied Data Science,,The job placement includes a data science skills development program where candidates get 1 to 2 months of in-class intensive data science enablement training…
45,Junior Data Scientist (Training included - No prior experien...,The Center of Applied Data Science,,"Step 2: Learn new data literacy skills to become either a junior data scientist, data analyst or data engineer.List the data analytics skills you know."
46,Data Scientist - Analytics and Algorithms,Schlumberger,,"0 - 3 years' of experience in quantitative analytics or data modeling.Analyze raw data: assessing quality, cleansing, structuring for downstream processing."
47,Data Scientist,RHB Banking Group,,"Basic expertise in data mining, analytical techniques & solutions.Basic experience in handling & managing large quantum of data via appropriate tools &…"
48,DATA SCIENTIST,OrangeFIN Asia Sdn Bhd,,"To work independently or in team collaboration in sharing and generating insights based on data mining, visual/descriptive analytics, machine learning, using…"
49,SEA Data Scientist (Associate/Analyst/Consultant),Deloitte,,"Prior exposure to the field of data science working with structured data is preferred, in particular, applying supervised and unsupervised machine learning…"
50,Data Star Graduate Program - Job Placement with Scholarship,The Center of Applied Data Science,,"Qualified candidates will receive a fully sponsored scholarship to learn data science, analytics, and AI skills from CADS before embarking on a new career in…"
51,Data Scientist,Involve Asia,,"Experience using statistical computer languages (R, Python.) to manipulate data and draw insights from large data sets."
52,FORENSIC SCIENCE TECHNICIAN,FORENSIC SERVICES (M) SDN BHD,,"Â€¢ Routine data processing, evidence recording, photography including preparation of site plans and drawings."
53,Data Analyst,Maxis,,Support Insights demand delivery and collaborate with stakeholders on the increased use of data effectively to improve business and operation efficiency.
54,Junior Data Scientist,The Center of Applied Data Science,,The job placement includes a data science skills development program where candidates get 1 to 2 months of in-class intensive data science enablement training…
55,DATA SCIENTIST ( WORK FROM HOME),Vivcal Technologies Sdn Bhd,,He/She will use data mining techniques to deep dive into the data to identify trends and patterns to unlock insights.Expert in Microsoft Excel and PowerPoint.
56,Insurance Data Scientist,RHB Banking Group,,Statistical methods to address and then solve business problems through data solutions.Basic experience in handling & managing large quantum of data via…
57,Data Scientist,SKILL QUOTIENT RESOURCES SDN BHD,,"Deep expertise in data mining, analytical techniques and solutions.Demonstrate efficiency through contributing to and applying bank-wide best practices in…"
58,Data Scientist,SilverSky,,"Investigates corporate data requirements and applies data analysis, data modelling and quality assurance techniques, to establish, modify or maintain data…"
59,Associate Enterprise Data Analyst,The Center of Applied Data Science,,The job placement includes a data science skills development program where candidates get 1 to 2 months of in-class intensive data science enablement training…
